"location","class","purchase_ton","year"
"AL","CLASSE III","891.966986088",2012
"AL","CLASSE IV","17.007847399999999",2012
"SE","CLASSE I","2.2446454999999998",2012
"SE","CLASSE II","150.266705398",2012
"SE","CLASSE III","406.50320741000002",2012
"SE","CLASSE IV","44.068399999999997",2012
"BA","CLASSE I","205.93796789999999",2012
"BA","CLASSE II","7149.2703307862303",2012
"BA","CLASSE III","14937.944438334",2012
"BA","CLASSE IV","1528.1840160079",2012
"SUDESTE","CLASSE I","962.00759339999991",2012
"SUDESTE","CLASSE II","38173.329949153049",2012
"SUDESTE","CLASSE III","67754.956419825103",2012
"SUDESTE","CLASSE IV","15898.343781927591",2012
"ES","CLASSE I","14.3394993",2012
"ES","CLASSE II","783.65055371482003",2012
"ES","CLASSE III","3176.68458117",2012
"ES","CLASSE IV","219.05729489800001",2012
"MG","CLASSE I","424.74194089999997",2012
"MG","CLASSE II","9157.8183550518297",2012
"MG","CLASSE III","22082.886421861",2012
"MG","CLASSE IV","2985.8849669464898",2012
"RJ","CLASSE I","11.3102",2012
"RJ","CLASSE II","212.35955798800001",2012
"RJ","CLASSE III","886.45447827999999",2012
"RJ","CLASSE IV","36.665100877999997",2012
"SP","CLASSE I","511.61595319999998",2012
"SP","CLASSE II","28019.501482398398",2012
"SP","CLASSE III","41608.930938514102",2012
"SP","CLASSE IV","12656.736419205101",2012
"SUL","CLASSE I","548.24885782799993",2012
"SUL","CLASSE II","22641.975389082501",2012
"SUL","CLASSE III","81527.784776464192",2012
"SUL","CLASSE IV","7593.7910500321495",2012
"PR","CLASSE I","290.81661198699999",2012
"PR","CLASSE II","11654.273894057",2012
"PR","CLASSE III","38726.177721624001",2012
"PR","CLASSE IV","4461.8526105195997",2012
"RS","CLASSE I","217.15501104099999",2012
"RS","CLASSE II","8105.2231464604602",2012
"RS","CLASSE III","36014.454184670001",2012
"RS","CLASSE IV","2442.1608265263999",2012
"SC","CLASSE I","40.277234800000002",2012
"SC","CLASSE II","2882.4783485650401",2012
"SC","CLASSE III","6787.1528701702",2012
"SC","CLASSE IV","689.77761298614996",2012
"
CENTRO-OESTE","CLASSE I","989.46176270000001",2012
"
CENTRO-OESTE","CLASSE II","36054.169606946525",2012
"
CENTRO-OESTE","CLASSE III","88956.043399252012",2012
"
CENTRO-OESTE","CLASSE IV","8757.0677757915801",2012
"DF","CLASSE I","2.6188088",2012
"DF","CLASSE II","277.58708764134002",2012
"DF","CLASSE III","582.46474258000001",2012
"DF","CLASSE IV","33.012668060300001",2012
"GO","CLASSE I","245.27532049999999",2012
"GO","CLASSE II","10740.0415974633",2012
"GO","CLASSE III","28103.828731231999",2012
"GO","CLASSE IV","2540.9282564335799",2012
"MS","CLASSE I","118.729574",2012
"MS","CLASSE II","5385.4733456701897",2012
"MS","CLASSE III","14601.998949694",2012
"MS","CLASSE IV","922.51368564409995",2012
"MT","CLASSE I","622.83805940000002",2012
"MT","CLASSE II","19651.067576171699",2012
"MT","CLASSE III","45667.750975745999",2012
"MT","CLASSE IV","5260.6131656535999",2012
"Vendas sem definição","CLASSE I","541.18151739999996",2012
"Vendas sem definição","CLASSE II","20825.296712575",2012
"Vendas sem definição","CLASSE III","31572.962254720002",2012
"Vendas sem definição","CLASSE IV","376.57232299999998",2012
"Vendas Totais","CLASSE I","3433.5303336279999",2012
"Vendas Totais","CLASSE II","132287.399088887",2012
