"long","lat","order","hole","piece","group","id","x","y","UF"
-66.305174253519,-9.42179956590962,26,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-66.8064741301622,-9.81569471272214,27,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-70.3273224825236,-8.13871537480745,28,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-73.8050903767359,-7.1091280603668,29,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-73.6993474340065,-6.73083272134884,30,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-73.1471342886417,-6.46953594079003,31,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-73.2763756630888,-6.04054122643976,32,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-72.8142398393083,-5.10845271071508,33,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-71.4826620419748,-4.41036131190874,34,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-69.9630967909,-4.30116265734685,35,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-69.4148000508215,-1.00570326074705,36,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-70.0296756807667,-0.178913447635622,37,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-70.0453413019118,0.585477134297584,38,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-69.152400896641,0.604976894040782,39,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-69.1563173019273,1.05347136813425,40,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-69.8416882270255,1.04567146423697,41,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-69.8416882270255,1.72036315135148,42,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-68.212463627935,1.7320630071974,43,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-67.4644302182565,2.16885762544494,44,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-67.1080373372054,1.82566185396473,45,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-67.088455310774,1.16656997464477,46,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-65.5414752226954,0.64787636547581,47,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-63.3913687205303,2.20005724103406,48,FALSE,"1","3.1","3",-64.68219739,-4.1817816,"AM"
-50.1382532317752,0.651776317424449,1,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-51.7165645621441,-0.728806672393695,2,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-51.6656512934225,-1.12270181920621,3,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-52.3431894079481,-1.17340119453852,4,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-53.6121047207012,1.25236891751482,5,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-54.348388914521,1.73986291109468,6,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-54.7596114695799,1.73986291109468,7,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-54.8927692493132,2.46915392549013,8,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-54.6734505532818,2.48085378133605,9,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-54.4541318572504,2.19225733713678,10,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-54.0585749233366,2.16885762544494,11,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-53.8235906061601,2.35605531897961,12,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-53.337956350662,2.3443554631337,13,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-53.2361298132188,2.18835738518814,14,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-52.8758205268815,2.18835738518814,15,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-51.3758373022381,4.45812941929593,16,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-50.8001257251557,2.31315584754459,17,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-49.8562720511634,1.61896440068687,18,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-49.879770482881,1.0183718005965,19,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-50.1382532317752,0.651776317424449,20,FALSE,"1","4.1","4",-51.97549803,1.39102202,"AP"
-38.2245483509261,-9.32040081524501,1,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-37.9934804390359,-9.49979860488239,2,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-37.9778148178908,-9.95999293482177,3,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-37.8172422011535,-9.98729259846225,4,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-37.7271648795692,-10.3343883218911,5,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-37.8329078222986,-10.3811877452748,6,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-37.8329078222986,-10.7048837570118,7,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-38.0130624654673,-10.7594830842927,8,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-38.0443937077575,-10.7009838050631,9,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-38.1971335139222,-10.7087837089604,10,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-38.2637124037889,-10.8179823635223,11,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-38.0052296548947,-11.3483758285372,12,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-37.4647657253888,-11.6174725129933,13,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-38.3694553465183,-13.0214552145032,14,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-38.5652756108321,-12.8927568001982,15,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-38.9373341130282,-13.239852523627,16,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-39.0548262716165,-14.7569338316475,17,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
-38.8550896020164,-15.8606202331123,18,FALSE,"1","5.1","5",-41.73416561,-12.47128057,"BA"
